epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1726.89,0.50355,0.93511,0.56195,0.95325,0.69777,0.6184,0.64598,0.55934,0.68552,0.61115,0.63057,0.52666,0.95687,2.88921,1.6424,1.2406,0.000522771,0.000522771,0.000522771
54,1760.35,0.51589,0.97503,0.59002,0.96233,0.7137,0.6912,0.67463,0.59502,0.70062,0.68395,0.66448,0.55713,0.88787,2.88257,1.66354,1.16296,0.000500767,0.000500767,0.000500767
55,1793.36,0.48945,0.87179,0.52856,0.94127,0.70315,0.65733,0.67044,0.58612,0.70556,0.64504,0.66328,0.54274,0.96746,2.84052,1.59398,1.24295,0.000478762,0.000478762,0.000478762
56,1826.64,0.48443,0.8738,0.53194,0.94584,0.766,0.59633,0.64374,0.56331,0.76103,0.59391,0.64098,0.53446,0.92827,2.68558,1.67068,1.19742,0.000456758,0.000456758,0.000456758
57,1859.44,0.49024,0.85853,0.52693,0.94267,0.66621,0.67086,0.67138,0.58268,0.65653,0.66221,0.65828,0.54909,0.96204,2.83128,1.62759,1.23862,0.000434754,0.000434754,0.000434754
58,1892.99,0.48034,0.87236,0.51593,0.93687,0.70107,0.61598,0.66312,0.58508,0.68336,0.60632,0.64781,0.55174,0.90079,2.96066,1.69451,1.17972,0.000412749,0.000412749,0.000412749
59,1926.38,0.46944,0.86086,0.49949,0.9408,0.6931,0.60768,0.65597,0.58007,0.69215,0.60545,0.65279,0.54189,0.87321,2.86985,1.61283,1.17066,0.000390745,0.000390745,0.000390745
60,1959.89,0.48144,0.84262,0.50268,0.94094,0.63952,0.65201,0.63522,0.55805,0.63375,0.64255,0.62313,0.53353,0.90445,2.89496,1.7538,1.17247,0.00036874,0.00036874,0.00036874
61,1994.55,0.48728,0.85162,0.52094,0.95968,0.68465,0.67912,0.67129,0.58483,0.75177,0.62944,0.66794,0.55874,0.92392,3.02601,1.61231,1.18441,0.000346736,0.000346736,0.000346736
62,2027.66,0.46053,0.84571,0.47754,0.929,0.70823,0.66567,0.66418,0.57868,0.72533,0.63442,0.65123,0.55776,0.85914,2.88068,1.62462,1.13645,0.000324732,0.000324732,0.000324732
63,2059.9,0.44989,0.81502,0.47275,0.93559,0.73067,0.65057,0.65733,0.57868,0.74336,0.62839,0.64033,0.54665,0.9124,3.03172,1.59244,1.18919,0.000302727,0.000302727,0.000302727
